rt,stimulus,response,trial_type,trial_index,time_elapsed,internal_node_id,question_order,correct_answers
4907,Stimuli/nonrhyme_25_oneline.mp3,1,audio-button-response,10,77653,0.0-5.0-0.5,,1
6016,Stimuli/nonrhyme_22_oneline.mp3,1,audio-button-response,11,84320,0.0-5.0-0.6,,1
4245,Stimuli/nonrhyme_19_oneline.mp3,0,audio-button-response,12,89204,0.0-5.0-0.7,,1
7872,Stimuli/nonrhyme_5_twolines.mp3,0,audio-button-response,13,97803,0.0-5.0-0.8,,1
4277,Stimuli/nonrhyme_39_oneline.mp3,0,audio-button-response,14,102720,0.0-5.0-0.9,,1
8149,Stimuli/endthreevowel_rhyme24.mp3,1,audio-button-response,15,111587,0.0-5.0-0.10,,0
4635,Stimuli/nonrhyme_23_oneline.mp3,1,audio-button-response,16,116853,0.0-5.0-0.11,,1
8139,Stimuli/nonrhyme_4_twolines.mp3,0,audio-button-response,17,125687,0.0-5.0-0.12,,1
9381,Stimuli/threeVowelSlantRhyme_21.mp3,0,audio-button-response,18,135768,0.0-5.0-0.13,,0
9195,Stimuli/endthreevowel_rhyme5.mp3,1,audio-button-response,19,145637,0.0-5.0-0.14,,0
9829,Stimuli/onevowelend_rhyme8.mp3,0,audio-button-response,20,156220,0.0-5.0-0.15,,0
5237,Stimuli/nonrhyme_14_oneline.mp3,1,audio-button-response,21,162120,0.0-5.0-0.16,,1
9264,Stimuli/EndTwoVowel_rhyme2.mp3,0,audio-button-response,22,172087,0.0-5.0-0.17,,0
9643,Stimuli/endthreevowel_rhyme50.mp3,0,audio-button-response,23,182437,0.0-5.0-0.18,,0
9504,Stimuli/endthreevowel_rhyme1.mp3,1,audio-button-response,24,192653,0.0-5.0-0.19,,0
8064,Stimuli/EndTwoVowel_rhyme1.mp3,1,audio-button-response,25,201420,0.0-5.0-0.20,,0
12443,Stimuli/nonrhyme_10_twolines.mp3,1,audio-button-response,26,214587,0.0-5.0-0.21,,1
7840,Stimuli/nonrhyme_15_oneline.mp3,0,audio-button-response,27,223071,0.0-5.0-0.22,,1
6117,Stimuli/onevowelinternalrhyme5.mp3,1,audio-button-response,28,229820,0.0-5.0-0.23,,0
9147,Stimuli/threeVowelSlantRhyme_29.mp3,1,audio-button-response,29,239654,0.0-5.0-0.24,,0
7749,Stimuli/nonrhyme_3_twolines.mp3,0,audio-button-response,30,248322,0.0-5.0-0.25,,1
8251,Stimuli/threeVowelSlantRhyme_16.mp3,0,audio-button-response,31,257272,0.0-5.0-0.26,,0
8837,Stimuli/threeVowelSlantRhyme_11.mp3,1,audio-button-response,32,266853,0.0-5.0-0.27,,0
8208,Stimuli/endthreevowel_rhyme46.mp3,0,audio-button-response,33,275769,0.0-5.0-0.28,,0
8315,Stimuli/endthreevowel_rhyme45.mp3,0,audio-button-response,34,284787,0.0-5.0-0.29,,0
7883,Stimuli/EndTwoVowel_rhyme12.mp3,0,audio-button-response,35,293386,0.0-5.0-0.30,,0
9499,Stimuli/endthreevowel_rhyme18.mp3,0,audio-button-response,36,303589,0.0-5.0-0.31,,0
14112,Stimuli/onevowelend_rhyme3.mp3,1,audio-button-response,37,318420,0.0-5.0-0.32,,0
8272,Stimuli/endthreevowel_rhyme8.mp3,1,audio-button-response,38,327370,0.0-5.0-0.33,,0
7813,Stimuli/endthreevowel_rhyme2.mp3,1,audio-button-response,39,335888,0.0-5.0-0.34,,0
4837,Stimuli/nonrhyme_22_oneline.mp3,1,audio-button-response,40,341236,0.0-5.0-0.35,,1
11333,Stimuli/endthreevowel_rhyme26.mp3,1,audio-button-response,41,353269,0.0-5.0-0.36,,0
11904,Stimuli/threeVowelSlantRhyme_48.mp3,1,audio-button-response,42,365903,0.0-5.0-0.37,,0
8699,Stimuli/threeVowelSlantRhyme_19.mp3,1,audio-button-response,43,375286,0.0-5.0-0.38,,0
11477,Stimuli/threeVowelSlantRhyme_3.mp3,1,audio-button-response,44,387453,0.0-5.0-0.39,,0
9237,Stimuli/threeVowelSlantRhyme_8.mp3,1,audio-button-response,45,397386,0.0-5.0-0.40,,0
9616,Stimuli/threeVowelSlantRhyme_28.mp3,1,audio-button-response,46,407702,0.0-5.0-0.41,,0
7371,Stimuli/threeVowelSlantRhyme_27.mp3,0,audio-button-response,47,415770,0.0-5.0-0.42,,0
5248,Stimuli/nonrhyme_38_oneline.mp3,0,audio-button-response,48,421653,0.0-5.0-0.43,,1
13088,Stimuli/threeVowelSlantRhyme_41.mp3,1,audio-button-response,49,435437,0.0-5.0-0.44,,0
10608,Stimuli/threeVowelSlantRhyme_5.mp3,0,audio-button-response,50,446736,0.0-5.0-0.45,,0
8795,Stimuli/threeVowelSlantRhyme_14.mp3,1,audio-button-response,51,456237,0.0-5.0-0.46,,0
4496,Stimuli/nonrhyme_27_oneline.mp3,1,audio-button-response,52,461368,0.0-5.0-0.47,,1
11760,Stimuli/threeVowelSlantRhyme_43.mp3,1,audio-button-response,53,473837,0.0-5.0-0.48,,0
9419,Stimuli/onevowelend_rhyme2.mp3,0,audio-button-response,54,483954,0.0-5.0-0.49,,0
8149,Stimuli/threeVowelSlantRhyme_15.mp3,0,audio-button-response,55,492805,0.0-5.0-0.50,,0
3531,Stimuli/nonrhyme_24_oneline.mp3,0,audio-button-response,56,496854,0.0-5.0-0.51,,1
8437,Stimuli/threeVowelSlantRhyme_32.mp3,0,audio-button-response,57,506003,0.0-5.0-0.52,,0
9355,Stimuli/endthreevowel_rhyme33.mp3,1,audio-button-response,58,516072,0.0-5.0-0.53,,0
10453,Stimuli/endthreevowel_rhyme36.mp3,1,audio-button-response,59,527221,0.0-5.0-0.54,,0
6176,Stimuli/nonrhyme_37_oneline.mp3,1,audio-button-response,60,533902,0.0-5.0-0.55,,1
11312,Stimuli/threeVowelSlantRhyme_46.mp3,1,audio-button-response,61,545938,0.0-5.0-0.56,,0
10496,Stimuli/threeVowelSlantRhyme_18.mp3,1,audio-button-response,62,557538,0.0-5.0-0.57,,0
9184,Stimuli/endthreevowel_rhyme14.mp3,0,audio-button-response,63,567438,0.0-5.0-0.58,,0
10080,Stimuli/endthreevowel_rhyme25.mp3,1,audio-button-response,64,578220,0.0-5.0-0.59,,0
9488,Stimuli/onevowelslant_rhyme8.mp3,1,audio-button-response,65,588420,0.0-5.0-0.60,,0
8725,Stimuli/onevowelslant_rhyme5.mp3,1,audio-button-response,66,597838,0.0-5.0-0.61,,0
8731,Stimuli/EndTwoVowel_rhyme9.mp3,0,audio-button-response,67,607237,0.0-5.0-0.62,,0
9440,Stimuli/endthreevowel_rhyme7.mp3,0,audio-button-response,68,617370,0.0-5.0-0.63,,0
9861,Stimuli/endthreevowel_rhyme31.mp3,0,audio-button-response,69,627919,0.0-5.0-0.64,,0
10773,Stimuli/endthreevowel_rhyme22.mp3,0,audio-button-response,70,639385,0.0-5.0-0.65,,0
7781,Stimuli/endthreevowel_rhyme49.mp3,0,audio-button-response,71,647886,0.0-5.0-0.66,,0
3312,Stimuli/nonrhyme_40_oneline.mp3,0,audio-button-response,72,651853,0.0-5.0-0.67,,1
3419,Stimuli/nonrhyme_17_oneline.mp3,0,audio-button-response,73,655919,0.0-5.0-0.68,,1
8539,Stimuli/endthreevowel_rhyme17.mp3,1,audio-button-response,74,665171,0.0-5.0-0.69,,0
8112,Stimuli/onevowelslant_rhyme6.mp3,1,audio-button-response,75,674006,0.0-5.0-0.70,,0
8507,Stimuli/threeVowelSlantRhyme_7.mp3,1,audio-button-response,76,683239,0.0-5.0-0.71,,0
4971,Stimuli/nonrhyme_36_oneline.mp3,1,audio-button-response,77,688718,0.0-5.0-0.72,,1
9472,Stimuli/threeVowelSlantRhyme_9.mp3,1,audio-button-response,78,698922,0.0-5.0-0.73,,0
7893,Stimuli/endthreevowel_rhyme29.mp3,1,audio-button-response,79,707518,0.0-5.0-0.74,,0
10427,Stimuli/threeVowelSlantRhyme_49.mp3,1,audio-button-response,80,718672,0.0-5.0-0.75,,0
8981,Stimuli/endthreevowel_rhyme30.mp3,1,audio-button-response,81,728372,0.0-5.0-0.76,,0
8656,Stimuli/nonrhyme_33_oneline.mp3,1,audio-button-response,82,737653,0.0-5.0-0.77,,1
5200,Stimuli/nonrhyme_30_oneline.mp3,1,audio-button-response,83,743488,0.0-5.0-0.78,,1
14592,Stimuli/EndTwoVowel_rhyme6.mp3,1,audio-button-response,84,758769,0.0-5.0-0.79,,0
4763,Stimuli/nonrhyme_20_oneline.mp3,1,audio-button-response,85,764188,0.0-5.0-0.80,,1
12949,Stimuli/endthreevowel_rhyme6.mp3,1,audio-button-response,86,777839,0.0-5.0-0.81,,0
7883,Stimuli/endthreevowel_rhyme16.mp3,0,audio-button-response,87,786421,0.0-5.0-0.82,,0
10720,Stimuli/threeVowelSlantRhyme_35.mp3,1,audio-button-response,88,797853,0.0-5.0-0.83,,0
8699,Stimuli/endthreevowel_rhyme11.mp3,1,audio-button-response,89,807271,0.0-5.0-0.84,,0
8245,Stimuli/onevowelinternalrhyme3.mp3,1,audio-button-response,90,816155,0.0-5.0-0.85,,0
5040,Stimuli/nonrhyme_25_oneline.mp3,1,audio-button-response,91,821705,0.0-5.0-0.86,,1
10384,Stimuli/onevowelend_rhyme6.mp3,1,audio-button-response,92,832786,0.0-5.0-0.87,,0
7957,Stimuli/threeVowelSlantRhyme_12.mp3,1,audio-button-response,93,841440,0.0-5.0-0.88,,0
12277,Stimuli/EndTwoVowel_rhyme4.mp3,1,audio-button-response,94,854406,0.0-5.0-0.89,,0
10080,Stimuli/threeVowelSlantRhyme_30.mp3,1,audio-button-response,95,865172,0.0-5.0-0.90,,0
6027,Stimuli/nonrhyme_34_oneline.mp3,1,audio-button-response,96,871835,0.0-5.0-0.91,,1
9723,Stimuli/onevowelinternalrhyme7.mp3,1,audio-button-response,97,882186,0.0-5.0-0.92,,1
9072,Stimuli/onevowelinternalrhyme4.mp3,1,audio-button-response,98,891905,0.0-5.0-0.93,,0
8656,Stimuli/onevowelslant_rhyme1.mp3,1,audio-button-response,99,901272,0.0-5.0-0.94,,0
11568,Stimuli/EndTwoVowel_rhyme10.mp3,1,audio-button-response,100,913539,0.0-5.0-0.95,,0
7595,Stimuli/nonrhyme_21_oneline.mp3,1,audio-button-response,101,921771,0.0-5.0-0.96,,1
12549,Stimuli/threeVowelSlantRhyme_36.mp3,1,audio-button-response,102,935038,0.0-5.0-0.97,,0
8848,Stimuli/endthreevowel_rhyme39.mp3,1,audio-button-response,103,944588,0.0-5.0-0.98,,0
6940,,"{""Q0"":""""}",survey-text,104,952056,0.0-6.0,,
